filename,label
Image_1.jpg,B
Image_2.jpg,P
Image_3.jpg,J
Image_4.jpg,T
Image_5.jpg,B
Image_6.jpg,E
Image_7.jpg,I
Image_8.jpg,P
Image_9.jpg,H
Image_10.jpg,P
Image_11.jpg,S
Image_12.jpg,L
Image_13.jpg,X
Image_14.jpg,P
Image_15.jpg,U
Image_16.jpg,V
Image_17.jpg,Z
Image_18.jpg,S
Image_19.jpg,K
Image_20.jpg,B
Image_21.jpg,B
Image_22.jpg,C
Image_23.jpg,del
Image_24.jpg,del
Image_25.jpg,J
Image_26.jpg,J
Image_27.jpg,Z
Image_28.jpg,F
Image_29.jpg,Z
Image_30.jpg,Z
Image_31.jpg,H
Image_32.jpg,Q
Image_33.jpg,N
Image_34.jpg,Z
Image_35.jpg,G
Image_36.jpg,Y
Image_37.jpg,H
Image_38.jpg,P
Image_39.jpg,D
Image_40.jpg,Q
Image_41.jpg,I
Image_42.jpg,F
Image_43.jpg,L
Image_44.jpg,E
Image_45.jpg,T
Image_46.jpg,V
Image_47.jpg,P
Image_48.jpg,I
Image_49.jpg,I
Image_50.jpg,P
Image_51.jpg,G
Image_52.jpg,O
Image_53.jpg,nothing
Image_54.jpg,E
Image_55.jpg,R
Image_56.jpg,space
Image_57.jpg,del
Image_58.jpg,K
Image_59.jpg,T
Image_60.jpg,V
Image_61.jpg,Z
Image_62.jpg,M
Image_63.jpg,P
Image_64.jpg,space
Image_65.jpg,M
Image_66.jpg,W
Image_67.jpg,F
Image_68.jpg,Q
Image_69.jpg,nothing
Image_70.jpg,K
Image_71.jpg,C
Image_72.jpg,nothing
Image_73.jpg,U
Image_74.jpg,E
Image_75.jpg,D
Image_76.jpg,H
Image_77.jpg,P
Image_78.jpg,Z
Image_79.jpg,space
Image_80.jpg,Q
Image_81.jpg,R
Image_82.jpg,del
Image_83.jpg,O
Image_84.jpg,nothing
Image_85.jpg,Y
Image_86.jpg,E
Image_87.jpg,B
Image_88.jpg,del
Image_89.jpg,del
Image_90.jpg,T
Image_91.jpg,N
Image_92.jpg,A
Image_93.jpg,U
Image_94.jpg,K
Image_95.jpg,C
Image_96.jpg,Z
Image_97.jpg,J
Image_98.jpg,E
Image_99.jpg,R
